Age,Average Income
18,14559.17255
19,14943.42341
20,15117.54386
21,15172.20381
22,15094.28344
23,15435.29282
24,15247.21303
25,14768.78102
26,14632.27459
27,14941.02838
28,14359.21582
29,15237.33001
30,15133.81129
31,14561.39609
32,15116.44744
33,15026.3741
34,14669.37311
35,15261.2563
36,14945.88936
37,14530.79491
38,15861.91143
39,14957.10054
40,15302.65816
41,15541.28821
42,14466.3691
43,14793.49793
44,14046.38696
45,14756.90647
46,14914.09583
47,15633.3004
48,15128.80242
49,14608.60996
50,15625.62835
51,14469.13216
52,14721.72963
53,15196.23789
54,15563.35242
55,15146.09767
56,14779.09959
57,14913.43836
58,15635.79839
59,14483.43548
60,14284.47826
61,14869.30882
62,14820.37768
63,15052.16228
64,15764.60996
65,14943.16525
