City,Mean_KM,Mean_Cost,Average_KM_Cost,Company
ATLANTA GA,22.539824,247.6195936,10.98587077,Pink Cab
AUSTIN TX,21.969176,241.5029015,10.99280653,Pink Cab
BOSTON MA,22.740746,250.0305287,10.99482527,Pink Cab
CHICAGO IL,22.51107,247.5658212,10.99751461,Pink Cab
DALLAS TX,22.021203,242.1052812,10.99418961,Pink Cab
DENVER CO,22.459218,247.0884369,11.00164916,Pink Cab
LOS ANGELES CA,22.635629,248.9551319,10.99837481,Pink Cab
MIAMI FL,22.299925,244.9367827,10.98374917,Pink Cab
NASHVILLE TN,22.528066,247.1442238,10.97050336,Pink Cab
NEW YORK NY,22.622415,248.8565885,11.00044308,Pink Cab
ORANGE COUNTY,22.213153,244.6138976,11.0121196,Pink Cab
PHOENIX AZ,21.747384,239.1219282,10.99543413,Pink Cab
PITTSBURGH PA,22.581613,248.794695,11.01757855,Pink Cab
SACRAMENTO CA,22.604303,248.6385367,10.99961086,Pink Cab
SAN DIEGO CA,22.55471,248.1659137,11.00284214,Pink Cab
SEATTLE WA,22.694133,249.9422969,11.01352041,Pink Cab
SILICON VALLEY,22.791838,250.7666497,11.00247596,Pink Cab
TUCSON AZ,22.556909,249.0088298,11.03913793,Pink Cab
WASHIGNTON DC,22.480756,247.4918004,11.00905149,Pink Cab
,,,11.00061565,
